role,user_id,event_id,comments,finance_status,ai_status,status
finance_manager,lrainardj@ifeng.com,62d3b99ffc13ae55b700014a,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,true,true,true
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b700014b,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,true,false,true
finance_manager,ilatusk@samsung.com,62d3b99ffc13ae55b700014c,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,false,false,true
finance_manager,mgulliman1d@sciencedaily.com,62d3b99ffc13ae55b700014d,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,true,true,true
finance_manager,hluckingsn@yandex.ru,62d3b99ffc13ae55b700014e,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,true,true,true
finance_manager,raylingd@harvard.edu,62d3b99ffc13ae55b700014f,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",true,true,false
finance_manager,ilatusk@samsung.com,62d3b99ffc13ae55b7000150,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,true,true,true
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b7000151,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,true,false,false
finance_manager,mguild19@reference.com,62d3b99ffc13ae55b7000152,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",true,true,false
finance_manager,hluckingsn@yandex.ru,62d3b99ffc13ae55b7000153,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",false,true,true
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b7000154,Fusce consequat. Nulla nisl. Nunc nisl.,true,false,true
finance_manager,mgulliman1d@sciencedaily.com,62d3b99ffc13ae55b7000155,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",true,true,true
finance_manager,tpasfield17@who.int,62d3b99ffc13ae55b7000156,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,true,false,true
finance_manager,mburburoughv@constantcontact.com,62d3b99ffc13ae55b7000157,Phasellus in felis. Donec semper sapien a libero. Nam dui.,true,false,true
finance_manager,hluckingsn@yandex.ru,62d3b99ffc13ae55b7000158,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",true,false,true
finance_manager,lrainardj@ifeng.com,62d3b99ffc13ae55b7000159,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",false,false,false
finance_manager,ayaakov1c@npr.org,62d3b99ffc13ae55b700015a,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true,true,true
finance_manager,mburburoughv@constantcontact.com,62d3b99ffc13ae55b700015b,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false,true,true
finance_manager,mguild19@reference.com,62d3b99ffc13ae55b700015c,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,true,true,false
finance_manager,ayaakov1c@npr.org,62d3b99ffc13ae55b700015d,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,true,true,false
finance_manager,raylingd@harvard.edu,62d3b99ffc13ae55b700015e,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,true,true,false
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b700015f,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,true,true,true
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b7000160,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,false,true
finance_manager,tpasfield17@who.int,62d3b99ffc13ae55b7000161,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",true,false,false
finance_manager,raylingd@harvard.edu,62d3b99ffc13ae55b7000162,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false,true,false
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b7000163,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",false,true,true
finance_manager,mgulliman1d@sciencedaily.com,62d3b99ffc13ae55b7000164,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,false,true,false
finance_manager,ayaakov1c@npr.org,62d3b99ffc13ae55b7000165,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",false,true,true
finance_manager,ytallquist1b@scribd.com,62d3b99ffc13ae55b7000166,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,true,false,false
finance_manager,mtrillow@toplist.cz,62d3b99ffc13ae55b7000167,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,true,false
finance_manager,tpasfield17@who.int,62d3b99ffc13ae55b7000168,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",false,false,false
finance_manager,ayaakov1c@npr.org,62d3b99ffc13ae55b7000169,Phasellus in felis. Donec semper sapien a libero. Nam dui.,true,true,false
finance_manager,raylingd@harvard.edu,62d3b99ffc13ae55b700016a,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,true,true,false
finance_manager,ilatusk@samsung.com,62d3b99ffc13ae55b700016b,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,false,true,false
