role,user_id,event_id,comments,governing_board_status
governing_body,cexroll16@yandex.ru,62d3b9a0fc13ae55b7000205,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,true
governing_body,hmatysikl@tumblr.com,62d3b9a0fc13ae55b70001bf,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,false
governing_body,hissett7@youku.com,62d3b99ffc13ae55b700014b,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",false
governing_body,hmatysikl@tumblr.com,62d3b9a0fc13ae55b70001f3,Fusce consequat. Nulla nisl. Nunc nisl.,false
governing_body,ptiuit1@eepurl.com,62d3b9a0fc13ae55b70001ef,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",true
governing_body,mclausiush@google.de,62d3b9a0fc13ae55b70001e0,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,false
governing_body,hmatysikl@tumblr.com,62d3b99ffc13ae55b7000150,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,true
governing_body,hissett7@youku.com,62d3b9a0fc13ae55b7000240,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",true
governing_body,mclausiush@google.de,62d3b99ffc13ae55b7000167,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,true
governing_body,hissett7@youku.com,62d3b9a0fc13ae55b70001b1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true
